Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
34,No,Travel_Rarely,Research & Development,1,3,Other,1,44,3,Male,95,1,3,Laboratory Technician,4,Single,8262,24193,8,Y,No,16,3,3,80,2,11,0,2,1,1,1,0
23,Yes,Travel_Rarely,Research & Development,1,3,Other,1,45,4,Female,42,1,2,Healthcare Representative,2,Divorced,4076,2571,2,Y,Yes,23,3,4,80,2,4,3,3,5,0,5,3
30,No,Travel_Rarely,Research & Development,8,2,Life Sciences,1,46,4,Female,44,2,3,Research Scientist,2,Single,4596,9399,7,Y,No,18,3,4,80,0,6,6,2,3,2,2,1
32,Yes,Travel_Frequently,Sales,11,3,Life Sciences,1,47,4,Female,56,3,3,Sales Executive,1,Single,5832,20784,8,Y,No,20,3,3,80,1,38,6,2,2,0,2,1
46,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,48,4,Male,37,2,2,Healthcare Representative,3,Single,6925,17014,8,Y,No,24,4,1,80,1,19,4,4,6,6,2,2
40,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,49,1,Male,99,4,3,Research Scientist,3,Divorced,7565,10574,6,Y,Yes,23,3,2,80,1,31,5,1,10,6,2,1
21,No,Non-Travel,Sales,1,3,Life Sciences,1,50,2,Male,79,1,2,Sales Executive,3,Divorced,3058,7829,9,Y,Yes,18,4,4,80,2,2,5,4,1,0,1,0
39,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,51,3,Male,96,2,4,Healthcare Representative,4,Married,12498,19467,2,Y,No,11,4,4,80,3,25,0,2,21,5,3,5
33,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,52,3,Male,55,1,5,Research Scientist,3,Married,5483,20333,2,Y,No,24,3,3,80,1,11,2,3,0,0,0,0
30,No,Travel_Rarely,Sales,2,4,Life Sciences,1,53,2,Male,65,4,1,Sales Executive,1,Single,5376,12709,1,Y,No,25,3,4,80,0,21,1,2,4,4,3,2
42,Yes,Travel_Rarely,Research & Development,18,1,Life Sciences,1,54,3,Male,50,3,3,Research Scientist,2,Divorced,9338,23914,0,Y,No,23,3,4,80,2,3,6,3,15,5,7,7
46,No,Travel_Rarely,Sales,1,4,Marketing,1,55,3,Male,81,3,2,Sales Executive,3,Single,9595,23586,1,Y,No,17,3,3,80,3,2,2,2,20,14,2,3
45,No,Travel_Rarely,Research & Development,29,4,Life Sciences,1,56,3,Female,40,3,5,Research Scientist,3,Married,12842,14361,4,Y,No,24,3,4,80,1,11,5,3,17,7,8,0
29,No,Travel_Rarely,Sales,15,1,Technical Degree,1,57,4,Female,37,1,3,Sales Executive,3,Single,5592,23814,0,Y,No,20,3,3,80,3,24,6,3,6,2,6,0
34,Yes,Travel_Rarely,Research & Development,9,3,Life Sciences,1,58,3,Female,86,4,5,Laboratory Technician,3,Single,4414,21881,9,Y,No,20,3,3,80,2,24,3,3,1,1,0,1
39,No,Travel_Rarely,Research & Development,22,3,Other,1,59,1,Female,75,2,4,Research Scientist,3,Divorced,8677,23880,3,Y,No,22,3,2,80,3,21,6,1,3,0,1,1
45,No,Travel_Frequently,Research & Development,10,3,Other,1,60,1,Male,31,3,3,Laboratory Technician,4,Single,5815,23314,9,Y,No,14,4,4,80,2,25,4,2,2,1,0,2
32,No,Travel_Frequently,Sales,1,4,Life Sciences,1,61,4,Female,93,1,2,Sales Executive,3,Single,6138,21778,9,Y,No,24,4,3,80,3,4,5,2,1,1,1,0
35,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,62,4,Female,81,3,4,Research Scientist,4,Divorced,6564,19157,0,Y,No,22,3,2,80,3,23,2,3,6,6,1,6
27,No,Travel_Rarely,Research & Development,1,2,Other,1,63,3,Male,94,4,3,Research Scientist,2,Divorced,5081,13248,9,Y,No,16,4,4,80,2,24,5,3,2,0,0,1
26,Yes,Travel_Rarely,Human Resources,3,5,Technical Degree,1,64,2,Male,40,2,5,Human Resources,3,Married,6238,9793,7,Y,Yes,16,3,3,80,3,21,1,3,8,8,8,8
44,No,Travel_Rarely,Sales,10,2,Medical,1,65,4,Female,35,3,4,Sales Executive,4,Divorced,10365,4597,4,Y,No,25,3,4,80,0,2,6,2,13,5,4,1
49,No,Travel_Rarely,Research & Development,3,4,Marketing,1,66,3,Male,93,4,2,Healthcare Representative,2,Single,9544,17973,9,Y,No,15,3,1,80,1,23,1,3,0,0,0,0
36,No,Travel_Frequently,Sales,3,2,Other,1,67,4,Male,84,1,3,Sales Executive,4,Married,7635,26365,3,Y,No,20,3,3,80,3,15,4,3,1,1,0,0
46,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,68,4,Male,73,4,5,Laboratory Technician,4,Married,7013,15360,2,Y,No,19,3,2,80,3,26,0,3,4,0,2,3
40,Yes,Travel_Rarely,Research & Development,16,3,Marketing,1,69,2,Male,43,1,5,Research Scientist,1,Married,8299,21445,8,Y,No,21,3,4,80,3,26,2,3,8,3,2,0
31,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,70,3,Male,34,3,4,Research Scientist,3,Married,2757,21709,5,Y,No,20,3,1,80,1,28,5,3,0,0,0,0
40,Yes,Non-Travel,Sales,3,3,Medical,1,71,1,Male,54,3,3,Sales Representative,1,Single,7378,3403,0,Y,No,18,3,3,80,2,26,2,2,3,0,0,1
50,No,Travel_Rarely,Sales,1,2,Medical,1,72,2,Male,79,4,5,Sales Executive,4,Single,15371,5320,7,Y,Yes,22,4,4,80,1,2,1,1,28,3,16,24
36,Yes,Travel_Rarely,Research & Development,9,3,Other,1,73,4,Male,31,1,4,Research Director,4,Single,3375,9239,9,Y,No,16,4,2,80,3,35,3,2,1,0,1,0
51,No,Travel_Rarely,Research & Development,1,3,Marketing,1,74,4,Female,39,4,1,Research Scientist,1,Single,8177,16782,1,Y,No,14,3,4,80,2,32,2,3,3,0,3,3
18,No,Travel_Frequently,Research & Development,8,1,Marketing,1,75,4,Male,31,4,5,Manufacturing Director,1,Married,3479,8649,8,Y,No,23,3,4,80,3,30,6,2,1,0,0,1
44,No,Travel_Rarely,Human Resources,2,4,Medical,1,76,3,Male,89,3,4,Human Resources,3,Single,7001,16020,6,Y,No,14,3,2,80,2,20,1,2,1,0,0,1
37,Yes,Travel_Rarely,Human Resources,1,2,Life Sciences,1,77,1,Male,74,3,1,Human Resources,2,Married,7133,9420,2,Y,Yes,23,3,1,80,3,13,3,3,12,5,6,3
34,No,Non-Travel,Research & Development,22,2,Other,1,78,1,Female,37,3,4,Laboratory Technician,1,Divorced,4778,25523,3,Y,No,19,3,2,80,3,27,0,2,4,1,4,2
37,Yes,Travel_Rarely,Sales,1,3,Technical Degree,1,79,2,Male,87,4,5,Sales Representative,3,Single,9211,2869,2,Y,No,24,3,2,80,2,23,6,2,16,3,5,12
19,No,Non-Travel,Sales,4,3,Medical,1,80,3,Male,36,4,1,Sales Executive,2,Divorced,2476,8442,5,Y,No,22,4,4,80,0,16,0,4,1,0,1,0
35,No,Non-Travel,Research & Development,1,3,Medical,1,81,3,Female,50,2,4,Laboratory Technician,1,Divorced,5464,11275,8,Y,No,23,3,4,80,1,31,1,1,3,0,3,0
40,No,Travel_Rarely,Research & Development,5,2,Other,1,82,1,Female,76,2,3,Research Scientist,4,Single,4958,2973,9,Y,No,14,3,1,80,2,12,6,3,2,2,1,0
50,No,Travel_Frequently,Research & Development,5,4,Life Sciences,1,83,4,Male,30,4,1,Research Scientist,4,Married,10831,11994,8,Y,Yes,23,3,3,80,1,33,1,3,14,12,14,1
32,Yes,Travel_Rarely,Sales,3,3,Marketing,1,84,2,Female,41,2,4,Sales Representative,4,Divorced,9707,17394,0,Y,Yes,17,3,3,80,0,38,0,3,14,1,5,7
29,No,Travel_Frequently,Sales,1,2,Medical,1,85,4,Male,77,4,3,Sales Executive,4,Single,3721,16078,9,Y,No,24,3,1,80,0,32,1,3,3,0,3,0
32,No,Travel_Frequently,Research & Development,3,3,Other,1,86,3,Male,33,3,1,Laboratory Technician,2,Divorced,7880,19572,5,Y,No,16,3,2,80,2,2,6,2,14,3,4,3
45,No,Travel_Rarely,Sales,8,4,Other,1,87,1,Male,63,1,4,Sales Representative,2,Divorced,9159,7147,0,Y,No,12,3,2,80,0,23,4,3,8,3,5,1
39,No,Travel_Frequently,Research & Development,12,3,Other,1,88,4,Male,61,3,5,Research Scientist,2,Single,5844,5443,3,Y,No,15,3,3,80,0,32,2,3,7,2,2,5
32,No,Travel_Frequently,Research & Development,6,1,Marketing,1,89,4,Female,32,4,1,Research Director,4,Divorced,8141,14126,6,Y,No,13,3,3,80,3,15,4,3,14,13,12,0
41,No,Travel_Rarely,Sales,7,3,Medical,1,90,3,Male,97,3,1,Sales Executive,4,Married,8987,7684,3,Y,No,19,3,3,80,3,8,3,3,8,8,2,7
37,No,Travel_Rarely,Sales,1,2,Other,1,91,3,Male,86,4,3,Sales Executive,4,Married,5356,15595,8,Y,No,20,3,1,80,0,22,1,4,4,4,1,0
45,No,Travel_Rarely,Research & Development,2,3,Marketing,1,92,1,Female,53,4,4,Healthcare Representative,4,Divorced,6685,3321,9,Y,No,11,3,4,80,3,38,1,3,0,0,0,0
30,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,93,3,Female,62,2,5,Research Scientist,3,Divorced,6256,16810,4,Y,Yes,20,4,3,80,0,34,6,4,4,2,4,4
34,No,Non-Travel,Research & Development,2,3,Technical Degree,1,94,4,Male,32,4,3,Research Scientist,2,Single,11224,20407,8,Y,No,14,3,4,80,3,1,3,3,16,6,0,12
33,No,Travel_Frequently,Research & Development,2,3,Medical,1,95,1,Female,33,1,1,Laboratory Technician,3,Married,5584,8740,0,Y,No,23,3,3,80,0,10,6,3,3,3,0,0
23,Yes,Travel_Rarely,Research & Development,5,4,Marketing,1,96,2,Male,59,2,3,Research Scientist,1,Divorced,3786,7468,3,Y,Yes,14,3,4,80,0,16,2,3,5,3,0,1
39,No,Travel_Rarely,Research & Development,6,3,Technical Degree,1,97,4,Female,99,1,3,Manufacturing Director,1,Married,9079,15518,6,Y,No,19,3,4,80,1,24,0,3,21,6,21,0
39,Yes,Travel_Rarely,Sales,23,3,Technical Degree,1,98,2,Female,78,4,3,Sales Representative,4,Divorced,8444,14704,1,Y,No,24,3,3,80,0,24,4,4,14,7,3,6
37,No,Travel_Rarely,Research & Development,1,2,Marketing,1,99,3,Female,59,3,1,Laboratory Technician,3,Single,4208,2438,8,Y,No,11,3,2,80,1,14,2,3,1,1,1,1
34,Yes,Travel_Rarely,Sales,8,3,Marketing,1,100,3,Male,45,4,2,Sales Executive,3,Single,6604,2164,2,Y,No,12,3,4,80,2,26,0,3,0,0,0,0
24,No,Travel_Rarely,Sales,13,3,Marketing,1,101,3,Male,82,4,3,Sales Representative,3,Married,4789,7678,3,Y,No,11,3,4,80,0,39,0,2,2,1,1,1
33,No,Travel_Rarely,Research & Development,6,3,Other,1,102,3,Male,35,3,2,Laboratory Technician,2,Married,7378,26219,3,Y,No,23,3,4,80,0,18,1,3,15,8,13,7
33,Yes,Non-Travel,Research & Development,2,5,Life Sciences,1,103,2,Male,53,3,5,Laboratory Technician,3,Divorced,4233,5337,7,Y,No,11,3,4,80,1,20,3,2,1,0,1,0
29,No,Travel_Rarely,Sales,2,4,Other,1,104,1,Male,57,1,5,Sales Executive,3,Divorced,6968,5350,1,Y,No,22,3,3,80,0,36,5,3,11,9,0,6
35,No,Travel_Rarely,Research & Development,1,4,Technical Degree,1,105,4,Female,50,2,5,Healthcare Representative,2,Divorced,8078,19371,4,Y,No,24,3,1,80,3,24,1,4,8,5,3,6
40,No,Travel_Rarely,Sales,2,3,Technical Degree,1,106,4,Male,37,2,4,Sales Executive,4,Married,7801,4529,1,Y,No,23,3,2,80,1,26,6,2,6,3,3,2
53,No,Non-Travel,Sales,10,3,Technical Degree,1,107,3,Male,65,2,1,Sales Representative,3,Single,13150,22996,5,Y,Yes,11,3,4,80,1,29,5,3,20,16,1,15
38,No,Travel_Frequently,Sales,1,2,Marketing,1,108,3,Female,38,1,2,Sales Representative,3,Single,6701,14406,8,Y,No,13,3,2,80,3,22,3,3,4,1,0,2
39,No,Travel_Frequently,Human Resources,1,2,Medical,1,109,2,Male,69,1,4,Human Resources,4,Married,4576,22229,8,Y,No,21,3,1,80,0,11,1,2,0,0,0,0
36,No,Travel_Rarely,Research & Development,9,4,Other,1,110,1,Female,80,3,2,Research Scientist,4,Single,6531,7756,0,Y,No,24,3,3,80,2,11,4,3,5,1,4,3
19,No,Travel_Rarely,Research & Development,12,3,Medical,1,111,4,Male,30,2,1,Laboratory Technician,4,Married,2860,10105,3,Y,No,14,3,4,80,2,3,1,3,1,1,1,1
36,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,112,3,Male,92,4,3,Healthcare Representative,2,Divorced,8295,19710,3,Y,No,20,3,2,80,2,21,4,2,18,16,7,9
37,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,113,2,Male,97,1,4,Laboratory Technician,1,Married,7523,26603,0,Y,No,12,3,2,80,1,11,5,3,2,2,1,0
59,Yes,Travel_Rarely,Research & Development,3,3,Other,1,114,1,Male,55,4,1,Manufacturing Director,2,Single,9310,12216,9,Y,Yes,24,3,3,80,1,8,2,4,5,5,3,5
35,Yes,Non-Travel,Research & Development,1,3,Technical Degree,1,115,1,Female,69,2,4,Healthcare Representative,2,Married,4169,25308,1,Y,No,11,3,1,80,3,31,2,2,2,0,1,0
39,No,Travel_Rarely,Sales,4,3,Life Sciences,1,116,2,Male,32,2,5,Sales Executive,4,Married,10213,6593,5,Y,Yes,15,3,4,80,0,10,5,2,20,12,12,6
36,No,Travel_Rarely,Research & Development,6,4,Medical,1,117,4,Male,38,1,4,Manufacturing Director,3,Married,4942,25046,9,Y,No,16,4,2,80,3,6,5,3,0,0,0,0
26,Yes,Travel_Frequently,Research & Development,23,5,Medical,1,118,4,Male,61,1,3,Healthcare Representative,1,Married,3880,2193,2,Y,No,12,4,4,80,1,17,1,3,1,0,0,1
47,No,Travel_Rarely,Research & Development,1,1,Marketing,1,119,4,Male,96,3,3,Healthcare Representative,1,Single,8826,20873,8,Y,No,13,3,4,80,2,38,2,3,9,9,8,5
43,Yes,Travel_Rarely,Research & Development,5,2,Technical Degree,1,120,4,Female,33,4,2,Laboratory Technician,1,Divorced,6235,8401,2,Y,No,20,3,3,80,0,7,0,1,0,0,0,0
44,No,Travel_Rarely,Research & Development,3,2,Marketing,1,121,4,Male,35,3,4,Research Scientist,3,Single,8799,26688,2,Y,No,13,3,2,80,2,32,4,3,9,2,6,0
28,No,Travel_Rarely,Research & Development,5,3,Other,1,122,3,Female,55,3,5,Laboratory Technician,4,Single,6597,3737,8,Y,Yes,12,3,3,80,0,13,5,4,10,10,3,8
49,Yes,Travel_Frequently,Research & Development,1,3,Life Sciences,1,123,2,Female,31,4,3,Manufacturing Director,4,Divorced,9042,20445,2,Y,No,14,3,3,80,2,6,6,3,6,0,6,1
24,No,Travel_Rarely,Research & Development,3,4,Marketing,1,124,4,Male,95,2,2,Laboratory Technician,4,Single,4853,11882,5,Y,No,24,3,2,80,0,3,3,3,4,1,4,1
42,No,Travel_Frequently,Sales,13,3,Marketing,1,125,2,Female,32,4,5,Sales Executive,2,Divorced,6829,17246,5,Y,No,15,3,4,80,2,27,4,4,1,0,1,1
56,No,Travel_Frequently,Sales,6,3,Other,1,126,2,Male,64,2,5,Sales Executive,2,Divorced,14678,8283,0,Y,No,18,3,3,80,3,26,1,3,23,15,12,4
28,Yes,Travel_Frequently,Sales,4,4,Medical,1,127,2,Male,88,3,5,Sales Executive,2,Married,3557,13360,6,Y,No,16,3,4,80,1,4,2,3,1,1,0,1
31,No,Travel_Rarely,Research & Development,2,3,Medical,1,128,3,Male,67,2,1,Research Scientist,2,Single,6040,25224,8,Y,No,25,3,1,80,3,37,2,3,9,4,5,1
37,Yes,Travel_Rarely,Sales,2,3,Other,1,129,2,Female,62,2,3,Sales Executive,4,Divorced,6633,21943,8,Y,Yes,19,3,1,80,2,21,0,4,1,0,1,1
32,No,Travel_Rarely,Sales,3,1,Medical,1,130,1,Female,44,2,1,Sales Executive,3,Single,5192,23845,8,Y,No,13,3,4,80,0,28,2,3,4,4,4,1
23,No,Travel_Rarely,Research & Development,14,3,Other,1,131,3,Male,43,4,1,Research Scientist,4,Single,4375,17859,1,Y,No,20,4,3,80,3,18,1,4,5,5,1,1
37,No,Travel_Frequently,Sales,27,3,Medical,1,132,4,Female,95,2,3,Sales Executive,3,Divorced,6638,9599,0,Y,Yes,19,3,3,80,2,32,1,3,6,6,5,6
27,No,Travel_Rarely,Research & Development,4,3,Other,1,133,3,Male,74,4,4,Manufacturing Director,1,Married,8375,12428,5,Y,No,21,3,3,80,1,39,3,3,9,6,7,7
41,Yes,Travel_Frequently,Sales,3,4,Medical,1,134,4,Male,77,1,2,Sales Executive,1,Divorced,5347,16417,5,Y,No,24,3,2,80,0,33,4,3,1,0,0,0
28,No,Travel_Rarely,Human Resources,14,4,Marketing,1,135,2,Male,73,1,3,Human Resources,3,Married,5380,5883,3,Y,No,21,4,4,80,3,26,6,3,9,8,4,9
50,No,Travel_Rarely,Research & Development,4,4,Marketing,1,136,1,Female,66,3,2,Research Scientist,4,Divorced,8289,21635,7,Y,No,14,3,1,80,1,17,4,3,4,3,0,2
29,Yes,Travel_Frequently,Sales,6,3,Medical,1,137,3,Female,58,3,4,Sales Representative,2,Divorced,4965,7053,4,Y,No,18,3,3,80,2,29,4,3,4,4,3,1
34,Yes,Travel_Rarely,Research & Development,2,4,Other,1,138,3,Male,63,4,3,Manufacturing Director,4,Married,4269,17233,6,Y,Yes,20,4,3,80,0,20,6,3,2,0,2,0
44,No,Travel_Frequently,Human Resources,10,3,Marketing,1,139,3,Male,88,2,5,Human Resources,4,Married,7308,14124,8,Y,Yes,17,3,4,80,2,30,3,2,4,3,1,1
25,No,Travel_Rarely,Research & Development,6,2,Life Sciences,1,140,4,Male,72,2,3,Research Director,3,Single,5316,21398,0,Y,No,24,3,3,80,0,5,3,3,7,6,6,7
39,No,Non-Travel,Sales,13,3,Medical,1,141,4,Male,62,1,4,Sales Executive,4,Divorced,6896,3128,8,Y,Yes,17,3,1,80,1,6,3,2,7,5,7,7
48,No,Travel_Rarely,Research & Development,12,1,Life Sciences,1,142,4,Male,48,4,1,Laboratory Technician,3,Single,8849,16716,3,Y,No,19,3,3,80,1,10,0,3,8,2,6,2
22,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,143,3,Female,37,2,3,Healthcare Representative,3,Single,3333,8865,6,Y,No,20,3,1,80,1,6,3,3,4,3,1,4
38,No,Travel_Rarely,Research & Development,10,3,Technical Degree,1,144,2,Male,60,2,5,Laboratory Technician,4,Married,4621,24856,3,Y,No,24,3,2,80,3,10,2,2,1,0,0,0
